lon,lat,type,modifier,maxspeed
138.9002493,35.2314087,st,st,40
138.9007924,35.2322062,turn,left,15
138.900602,35.2322872,st,st,30
138.9003746,35.2323458,st,st,30
138.9002653,35.2323634,st,st,30
138.9001581,35.2323694,st,st,30
138.9000501,35.2323557,st,st,30
138.8999428,35.2323212,st,st,30
138.8998617,35.2322703,st,st,30
138.8997879,35.2322001,st,st,30
138.8997323,35.2321224,st,st,30
138.89968,35.2320435,st,st,30
138.8996263,35.2319652,st,st,30
138.899574,35.2318868,st,st,30
138.899519,35.2318074,st,st,30
138.8994426,35.2316968,turn,right,15
138.8993058,35.2317587,st,st,30
138.8992233,35.2317844,st,st,30
138.8991502,35.2317904,st,st,30
138.8990376,35.2317663,st,st,30
138.8988076,35.2317045,st,st,30
138.8986936,35.2316765,turn,left,15
138.8986562,35.2316104,st,st,30
138.8984,35.2312237,st,st,30
138.8983504,35.2311454,st,st,30
138.8982633,35.2310194,st,st,30
138.8981774,35.2309433,st,st,30
138.8980856,35.2308852,st,st,30
138.8979595,35.2308233,turn,left,15
138.8980962,35.2306171,st,st,40
138.8982913,35.230352,st,st,40
138.8983295,35.2302994,st,st,40
138.8986313,35.2299072,st,st,40
138.8987768,35.2297122,st,st,40
138.8989075,35.2295402,st,st,40
138.8989759,35.229452,st,st,40
138.8992381,35.2291037,st,st,40
138.8993025,35.2290177,st,st,40
138.899338,35.2289552,st,st,40
138.8993588,35.2288879,st,st,40
138.8993635,35.2288199,st,st,40
138.8993541,35.2287591,st,st,40
138.8993414,35.228717,st,st,40
138.8993078,35.2286545,st,st,40
138.8992468,35.2285587,st,st,40
138.8990048,35.2282048,st,st,40
138.8987727,35.2278466,st,st,40
138.8986601,35.2276741,st,st,40
138.8985434,35.2275032,turn,right,15
138.8984442,35.2275453,st,st,30
138.8979453,35.227771,st,st,30
138.8977897,35.2278433,st,st,30
138.8976865,35.2278882,st,st,30
138.8975845,35.2279331,st,st,30
138.8975604,35.2279419,st,st,30
138.8975074,35.2279446,st,st,30
138.8974558,35.2279282,st,st,30
138.8974229,35.2278942,st,st,30
138.8973411,35.2277787,st,st,30
138.8971829,35.2275442,st,st,30
138.8971252,35.227461,st,st,30
138.8970407,35.227341,st,st,30
138.8969911,35.2272687,turn,right,15
138.8968912,35.2273065,st,st,20
138.8968315,35.2273328,st,st,20
138.8967758,35.2273438,turn,left,15
138.8967175,35.2273279,st,st,30
138.8966719,35.2273032,st,st,30
138.8962314,35.227048,st,st,30
138.8958954,35.226859,st,st,30
138.8956755,35.2267215,st,st,30
138.8952295,35.2264493,st,st,30
138.8951873,35.2264016,st,st,30
138.8951028,35.226349,st,st,30
138.8950619,35.2263101,st,st,30
138.8950063,35.2262581,turn,left,15
138.8952591,35.2259103,st,st,80
138.8954025,35.2257164,st,st,80
138.895481,35.2255734,st,st,80
138.8955574,35.2253674,st,st,80
138.8956276,35.2251802,st,st,80
138.8957644,35.22504,st,st,80
138.8960353,35.2248921,st,st,80
138.8962284,35.2247551,st,st,80
138.8963491,35.2246072,st,st,80
138.8964269,35.2244418,st,st,80
138.896447,35.2243542,st,st,80
138.8964537,35.2242643,st,st,80
138.8964148,35.22418,st,st,80
138.8963263,35.2241263,st,st,80
138.8962244,35.224112,st,st,80
138.8961184,35.2241405,st,st,80
138.896038,35.2241975,st,st,80
138.8959615,35.2242589,st,st,80
138.8958046,35.2243816,st,st,80
138.895708,35.224455,st,st,80
138.895578,35.2245152,st,st,80
138.8953969,35.2245744,st,st,80
138.8951743,35.2246193,st,st,80
138.8949852,35.2246598,st,st,80
138.8948574,35.2247154,st,st,80
138.8947488,35.2247899,st,st,80
138.8945865,35.2249531,st,st,80
138.8943907,35.2251585,st,st,80
138.8939991,35.2255727,st,st,80
138.8935458,35.2260525,st,st,80
138.8932535,35.2263373,st,st,80
138.892949,35.226551,st,st,80
138.8926822,35.2267438,st,st,80
138.8925561,35.226861,st,st,80
138.8924649,35.2269881,st,st,80
138.8924046,35.2271513,st,st,80
138.8923952,35.2272784,st,st,80
138.8924287,35.2274865,st,st,80
138.8924957,35.2277188,st,st,80
138.8925816,35.2280047,st,st,80
138.8926044,35.2281855,st,st,80
138.8925923,35.2283816,st,st,80
138.8925494,35.2285185,st,st,80
138.8925038,35.2286149,st,st,80
138.8924072,35.2287551,st,st,80
138.8923241,35.2288482,st,st,80
138.8922611,35.2289041,st,st,80
138.8921833,35.2290104,st,st,80
138.8919915,35.2291824,st,st,80
138.8918198,35.22935,st,st,80
138.8916053,35.2295493,st,st,80
138.8914229,35.2297224,st,st,80
138.8912995,35.2298407,st,st,80
138.8911761,35.2299558,st,st,80
138.8911426,35.229993,st,st,80
138.8911131,35.2300303,st,st,80
138.8910876,35.2300576,turn,right,15
138.8911292,35.2300916,st,st,20
138.891156,35.2301606,st,st,20
138.8911493,35.2302307,st,st,20
138.8911265,35.2302745,st,st,20
138.8910782,35.2303249,st,st,20
138.8910152,35.2303545,st,st,20
138.8909334,35.2303666,st,st,20
138.8908395,35.230349,st,st,20
138.8907778,35.2303085,st,st,20
138.8907376,35.2302625,st,st,20
138.8907174,35.230222,st,st,20
138.8907161,35.230176,st,st,20
138.8905471,35.2301595,turn,right,15
138.8904224,35.2301486,st,st,20
138.8903138,35.2301792,st,st,20
138.89024,35.230234,st,st,20
138.8901877,35.2303074,st,st,20
138.8902247,35.2303444,arrive,left,20
138.8902247,35.2303444,arrive,left,20
